case_id,group,real,ub,T,n,m,unreachable_pairs,done_pairs,total_pairs,mean_j
basic-ho0r0,basic,3,4.0,10,3,3,8,1,9,0.1
basic-ho0r1,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho1r0,basic,0,3.0,10,3,3,9,0,9,0.0
basic-ho1r1,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho2r0,basic,5,6.0,10,3,3,8,1,9,0.16666666666666666
basic-ho2r1,basic,6,6.0,10,3,3,8,1,9,0.19999999999999998
basic-ho3r0,basic,7,13.0,10,3,3,8,1,9,0.2333333333333333
basic-ho3r1,basic,4,8.0,10,3,3,8,1,9,0.13333333333333333
basic-ho4r0,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho4r1,basic,7,8.0,10,3,3,8,1,9,0.2333333333333333
basic-ho5r0,basic,4,5.0,10,3,3,8,1,9,0.13333333333333333
basic-ho5r1,basic,1,6.0,10,3,3,8,1,9,0.03333333333333333
basic-ho6r0,basic,4,5.0,10,3,3,8,1,9,0.13333333333333333
basic-ho6r1,basic,20,22.0,10,3,3,7,2,9,0.6666666666666667
basic-ho7r0,basic,7,8.0,10,3,3,7,2,9,0.20666666666666664
basic-ho7r1,basic,4,8.0,10,3,3,8,1,9,0.13333333333333333
basic-ho8r0,basic,1,4.0,10,3,3,7,2,9,0.03333333333333333
basic-ho8r1,basic,0,2.0,10,3,3,9,0,9,0.0
basic-ho9r0,basic,6,6.0,10,3,3,8,1,9,0.19999999999999998
basic-ho9r1,basic,10,10.0,10,3,3,7,2,9,0.29333333333333333
basic-ho10r0,basic,10,12.0,10,3,3,8,1,9,0.33333333333333337
basic-ho10r1,basic,5,6.0,10,3,3,8,1,9,0.16666666666666666
basic-ho11r0,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho11r1,basic,0,4.0,10,3,3,9,0,9,0.0
basic-ho12r0,basic,2,5.0,10,3,3,8,1,9,0.06666666666666667
basic-ho12r1,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho13r0,basic,5,7.0,10,3,3,8,1,9,0.16666666666666666
basic-ho13r1,basic,3,7.0,10,3,3,8,1,9,0.1
basic-ho14r0,basic,8,9.0,10,3,3,8,1,9,0.26666666666666666
basic-ho14r1,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho15r0,basic,3,7.0,10,3,3,8,1,9,0.1
basic-ho15r1,basic,0,1.0,10,3,3,9,0,9,0.0
basic-ho16r0,basic,0,5.0,10,3,3,9,0,9,0.0
basic-ho16r1,basic,20,20.0,10,3,3,7,2,9,0.6666666666666667
basic-ho17r0,basic,5,6.0,10,3,3,8,1,9,0.16666666666666666
basic-ho17r1,basic,10,11.0,10,3,3,8,1,9,0.33333333333333337
basic-ho18r0,basic,9,10.0,10,3,3,7,2,9,0.29999999999999993
basic-ho18r1,basic,3,5.0,10,3,3,8,1,9,0.1
basic-ho19r0,basic,3,4.0,10,3,3,8,1,9,0.1
basic-ho19r1,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho20r0,basic,0,4.0,10,3,3,9,0,9,0.0
basic-ho20r1,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho21r0,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho21r1,basic,0,2.0,10,3,3,9,0,9,0.0
basic-ho22r0,basic,10,13.0,10,3,3,7,2,9,0.3333333333333333
basic-ho22r1,basic,4,5.0,10,3,3,7,2,9,0.13333333333333333
basic-ho23r0,basic,4,5.0,10,3,3,8,1,9,0.13333333333333333
basic-ho23r1,basic,2,4.0,10,3,3,8,1,9,0.06666666666666667
basic-ho24r0,basic,0,1.0,10,3,3,9,0,9,0.0
basic-ho24r1,basic,10,10.0,10,3,3,8,1,9,0.33333333333333337
basic-ho25r0,basic,2,4.0,10,3,3,8,1,9,0.06666666666666667
basic-ho25r1,basic,10,11.0,10,3,3,8,1,9,0.33333333333333337
basic-ho26r0,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho26r1,basic,11,14.0,10,3,3,6,3,9,0.3666666666666666
basic-ho27r0,basic,3,5.0,10,3,3,8,1,9,0.1
basic-ho27r1,basic,5,5.0,10,3,3,7,2,9,0.16666666666666666
basic-ho28r0,basic,0,0.0,10,3,3,9,0,9,0.0
basic-ho28r1,basic,0,1.0,10,3,3,9,0,9,0.0
