case_id,real,ub,gap
basic-ho0r0,3.0,4.0,1.0
basic-ho0r1,0.0,0.0,0.0
basic-ho1r0,0.0,3.0,3.0
basic-ho1r1,0.0,0.0,0.0
basic-ho2r0,5.0,6.0,1.0
basic-ho2r1,6.0,6.0,0.0
basic-ho3r0,7.0,13.0,6.0
basic-ho3r1,4.0,8.0,4.0
basic-ho4r0,0.0,0.0,0.0
basic-ho4r1,7.0,8.0,1.0
basic-ho5r0,4.0,5.0,1.0
basic-ho5r1,1.0,6.0,5.0
basic-ho6r0,4.0,5.0,1.0
basic-ho6r1,20.0,22.0,2.0
basic-ho7r0,7.0,8.0,1.0
basic-ho7r1,4.0,8.0,4.0
cooperation-ho0r0,0.0,1.0,1.0
cooperation-ho0r1,6.0,8.0,2.0
cooperation-ho1r0,10.0,11.0,1.0
cooperation-ho1r1,0.0,2.0,2.0
cooperation-ho2r0,16.0,16.0,0.0
cooperation-ho2r1,0.0,0.0,0.0
cooperation-ho3r0,6.0,7.0,1.0
cooperation-ho3r1,7.0,7.0,0.0
cooperation-ho4r0,1.0,5.0,4.0
cooperation-ho4r1,4.0,7.0,3.0
cooperation-ho5r0,0.0,0.0,0.0
cooperation-ho5r1,0.0,6.0,6.0
cooperation-ho6r0,3.0,7.0,4.0
cooperation-ho6r1,0.0,2.0,2.0
cooperation-ho7r0,0.0,0.0,0.0
cooperation-ho7r1,10.0,10.0,0.0
